CSDUID,DGUID
1008037,2021A00051008037
1008038,2021A00051008038
1008039,2021A00051008039
1008040,2021A00051008040
1008042,2021A00051008042
1008043,2021A00051008043
1008044,2021A00051008044
1008045,2021A00051008045
1008046,2021A00051008046
1008047,2021A00051008047
1008048,2021A00051008048
1008049,2021A00051008049
1008052,2021A00051008052
1008053,2021A00051008053
1008054,2021A00051008054
1008055,2021A00051008055
1008056,2021A00051008056
1008058,2021A00051008058
1008059,2021A00051008059
1008060,2021A00051008060
1008061,2021A00051008061
1008062,2021A00051008062
1008063,2021A00051008063
1008064,2021A00051008064
1008065,2021A00051008065
1008066,2021A00051008066
1008067,2021A00051008067
1008069,2021A00051008069
1008070,2021A00051008070
1008071,2021A00051008071
1008072,2021A00051008072
1008073,2021A00051008073
1008074,2021A00051008074
1008075,2021A00051008075
1008076,2021A00051008076
1008077,2021A00051008077
1008078,2021A00051008078
1008079,2021A00051008079
1008091,2021A00051008091
1008092,2021A00051008092
1008093,2021A00051008093
1008095,2021A00051008095
1008096,2021A00051008096
1008098,2021A00051008098
1008099,2021A00051008099
1009001,2021A00051009001
1009004,2021A00051009004
1009007,2021A00051009007
1009008,2021A00051009008
1009009,2021A00051009009
1009010,2021A00051009010
1009011,2021A00051009011
1009012,2021A00051009012
1009013,2021A00051009013
1009015,2021A00051009015
1009016,2021A00051009016
1009017,2021A00051009017
1009018,2021A00051009018
1009019,2021A00051009019
1009020,2021A00051009020
1009021,2021A00051009021
1009022,2021A00051009022
1009023,2021A00051009023
1009024,2021A00051009024
1009026,2021A00051009026
1009028,2021A00051009028
1009029,2021A00051009029
1009030,2021A00051009030
1009031,2021A00051009031
1009032,2021A00051009032
1009034,2021A00051009034
1009035,2021A00051009035
1009037,2021A00051009037
1009039,2021A00051009039
1009041,2021A00051009041
1009042,2021A00051009042
1009047,2021A00051009047
1009048,2021A00051009048
1010001,2021A00051010001
1010002,2021A00051010002
1010003,2021A00051010003
1010004,2021A00051010004
1010005,2021A00051010005
1010006,2021A00051010006
1010007,2021A00051010007
1010008,2021A00051010008
1010009,2021A00051010009
1010010,2021A00051010010
1010011,2021A00051010011
1010012,2021A00051010012
1010013,2021A00051010013
1010020,2021A00051010020
1010022,2021A00051010022
1010025,2021A00051010025
1010029,2021A00051010029
1010032,2021A00051010032
1010034,2021A00051010034
1010042,2021A00051010042
1010801,2021A00051010801
1010802,2021A00051010802
1011005,2021A00051011005
1011010,2021A00051011010
1011015,2021A00051011015
1011020,2021A00051011020
1011030,2021A00051011030
1011035,2021A00051011035
1011040,2021A00051011040
1101002,2021A00051101002
1101003,2021A00051101003
1101004,2021A00051101004
1101005,2021A00051101005
1101020,2021A00051101020
1101025,2021A00051101025
1101027,2021A00051101027
1101030,2021A00051101030
1101033,2021A00051101033
1101035,2021A00051101035
1101036,2021A00051101036
1101037,2021A00051101037
1101040,2021A00051101040
1101043,2021A00051101043
1101044,2021A00051101044
1101045,2021A00051101045
1101048,2021A00051101048
1101050,2021A00051101050
1101052,2021A00051101052
1102002,2021A00051102002
1102003,2021A00051102003
1102005,2021A00051102005
1102010,2021A00051102010
1102011,2021A00051102011
1102013,2021A00051102013
1102015,2021A00051102015
1102016,2021A00051102016
1102017,2021A00051102017
1102018,2021A00051102018
1102019,2021A00051102019
1102020,2021A00051102020
1102021,2021A00051102021
1102022,2021A00051102022
1102030,2021A00051102030
1102032,2021A00051102032
1102034,2021A00051102034
1102035,2021A00051102035
1102037,2021A00051102037
1102040,2021A00051102040
1102043,2021A00051102043
1102045,2021A00051102045
1102046,2021A00051102046
1102050,2021A00051102050
1102051,2021A00051102051
1102055,2021A00051102055
1102057,2021A00051102057
1102059,2021A00051102059
1102061,2021A00051102061
1102064,2021A00051102064
1102066,2021A00051102066
1102067,2021A00051102067
1102068,2021A00051102068
1102069,2021A00051102069
1102070,2021A00051102070
1102071,2021A00051102071
1102072,2021A00051102072
1102073,2021A00051102073
1102075,2021A00051102075
1102080,2021A00051102080
1102085,2021A00051102085
1103002,2021A00051103002
1103003,2021A00051103003
1103004,2021A00051103004
1103005,2021A00051103005
1103007,2021A00051103007
1103008,2021A00051103008
1103014,2021A00051103014
1103015,2021A00051103015
1103018,2021A00051103018
1103020,2021A00051103020
1103021,2021A00051103021
1103022,2021A00051103022
1103023,2021A00051103023
1103024,2021A00051103024
1103025,2021A00051103025
1103027,2021A00051103027
1103029,2021A00051103029
1103033,2021A00051103033
1103035,2021A00051103035
1103039,2021A00051103039
1103040,2021A00051103040
1103042,2021A00051103042
1103043,2021A00051103043
1103050,2021A00051103050
1103052,2021A00051103052
1103053,2021A00051103053
1103055,2021A00051103055
1103057,2021A00051103057
1103059,2021A00051103059
1103060,2021A00051103060
1103061,2021A00051103061
1103062,2021A00051103062
1103063,2021A00051103063
1103064,2021A00051103064
1103065,2021A00051103065
1103066,2021A00051103066
1103067,2021A00051103067
1103068,2021A00051103068
1201001,2021A00051201001
1201004,2021A00051201004
1201006,2021A00051201006
1201008,2021A00051201008
1201009,2021A00051201009
1202001,2021A00051202001
1202004,2021A00051202004
1202006,2021A00051202006
1202040,2021A00051202040
1203001,2021A00051203001
1203004,2021A00051203004
1203006,2021A00051203006
1203009,2021A00051203009
1204001,2021A00051204001
1204009,2021A00051204009
1204010,2021A00051204010
1204015,2021A00051204015
1205001,2021A00051205001
1205002,2021A00051205002
1205004,2021A00051205004
1205006,2021A00051205006
1205008,2021A00051205008
1205009,2021A00051205009
1205014,2021A00051205014
1205016,2021A00051205016
1206001,2021A00051206001
1206004,2021A00051206004
1206006,2021A00051206006
1206008,2021A00051206008
1206009,2021A00051206009
1206011,2021A00051206011
1206014,2021A00051206014
1206016,2021A00051206016
1207001,2021A00051207001
1207002,2021A00051207002
1207004,2021A00051207004
1207011,2021A00051207011
1207012,2021A00051207012
1207016,2021A00051207016
1207021,2021A00051207021
1207024,2021A00051207024
1207027,2021A00051207027
1208003,2021A00051208003
1208008,2021A00051208008
1208014,2021A00051208014
1209019,2021A00051209019
1209034,2021A00051209034
